,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Discription,Geographical area 
0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,None,Historical,Yes,2.6,Evening,"A war memorial located in the heart of New Delhi, India Gate is dedicated to the soldiers who lost their lives in World War I and the Third Anglo-Afghan War. The majestic structure is an iconic landmark of Delhi.","Latitude: 28.6129° N, Longitude: 77.2295° E"
1,Northern,Delhi,Delhi,Humayun's Tomb,Tomb,1572,2,4.5,30,Yes,None,Historical,Yes,0.4,Afternoon,"This UNESCO World Heritage Site is the tomb of the Mughal Emperor Humayun. The garden tomb is a stunning example of Mughal architecture, with beautiful Persian-style gardens.","Latitude: 28.5933° N, Longitude: 77.2507° E"
2,Northern,Delhi,Delhi,Akshardham Temple,Temple,2005,5,4.6,60,Yes,None,Religious,No,0.4,Afternoon,"Swaminarayan Akshardham is a magnificent Hindu temple complex known for its stunning architecture, intricate carvings, and beautiful gardens. It is a spiritual and cultural campus dedicated to devotion, learning, and harmony.","Latitude: 28.6127° N, Longitude: 77.2773° E"
3,Northern,Delhi,Delhi,Waste to Wonder Park,Theme Park,2019,2,4.1,50,Yes,Monday,Environmental,Yes,0.27,Evening,"This unique park features replicas of the Seven Wonders of the World, all made from industrial and other waste materials. It's a creative and eco-friendly attraction in Delhi.","Latitude: 28.6096° N, Longitude: 77.2344° E"
4,Northern,Delhi,Delhi,Jantar Mantar,Observatory,1724,2,4.2,15,Yes,None,Scientific,Yes,0.31,Morning,"Built by Maharaja Jai Singh II, Jantar Mantar is an astronomical observatory with a collection of architectural astronomical instruments. It showcases the scientific advancements of ancient India.","Latitude: 28.6271° N, Longitude: 77.2166° E"
5,Northern,Delhi,Delhi,Chandni Chowk,Market,1700,3,4.2,0,Yes,Sunday,Market,Yes,0.25,Afternoon,"One of the oldest and busiest markets in Old Delhi, Chandni Chowk is a vibrant shopping area known for its narrow lanes, historic havelis, delicious street food, and a variety of shops selling everything from spices to jewelry.","Latitude: 28.6562° N, Longitude: 77.2301° E"
6,Northern,Delhi,Delhi,Lotus Temple,Temple,1986,1,4.5,0,Yes,Monday,Religious,Yes,0.59,Evening,"Also known as the Bahá'í House of Worship, the Lotus Temple is famous for its flower-like architecture. It is a place of meditation and worship open to people of all faiths.","Latitude: 28.5535° N, Longitude: 77.2588° E"
7,Northern,Delhi,Delhi,Red Fort,Fort,1648,2,4.5,35,Yes,None,Historical,Yes,1.5,Afternoon,"A historic fort and UNESCO World Heritage Site, the Red Fort was the main residence of the Mughal emperors. It is an impressive structure made of red sandstone and a symbol of India's rich history.","Latitude: 28.6562° N, Longitude: 77.2410° E"
8,Northern,Delhi,Delhi,Agrasen ki Baoli,Stepwell,1400,1,4.2,0,Yes,None,Historical,Yes,0.41,Afternoon,"This ancient stepwell, located in the heart of Delhi, is a historical monument known for its intricate architecture and deep history. It is an oasis of peace amidst the bustling city.","Latitude: 28.6260° N, Longitude: 77.2249° E"
9,Northern,Delhi,Delhi,Sunder Nursery,Park,1600,2,4.6,0,Yes,None,Botanical,Yes,0.16,Afternoon,"A beautiful heritage park that combines nature with history, Sunder Nursery offers lush gardens, water features, and restored Mughal-era monuments. It is an ideal spot for a peaceful day out.","Latitude: 28.5932° N, Longitude: 77.2431° E"
